case,tokens,latency,tools
Example1,21.7,-13.6,16.7
Example2,-3.7,13.4,0
Example3,60.1,28.2,30.8
Example4,-18.7,-16.7,-16.7
Example5,33.3,-14.3,28.6
Example6,26.8,6.0,-166.7
