track,tasks,artifactKinds,rubricWeight
T1,20,5,100
T2,20,5,100
T3,20,5,100
T4,20,5,100
T5,20,5,100
T6,20,5,100
T7,20,5,100
T8,20,5,100
T9,20,5,100
T10,20,5,100
T11,20,5,100
T12,20,5,100
T13,20,5,100
T14,20,5,100
T15,20,5,100
